temp,humidity,wind,pressure,pm2_5,pm10,co,no2,o3,so2,nh3,aqi
15.25,91,4.18,1022,0.5,0.74,68.47,1.25,32.75,0.45,0.05,1
14.47,94,6.75,1022,0.5,0.5,63.57,0.46,35.71,0.39,0.02,1
15.19,91,4.28,1022,0.5,0.74,68.47,1.25,32.75,0.45,0.05,1
5.18,49,5.15,1007,1.22,1.98,138.66,1.81,83.19,0.39,4.45,2
3.99,45,5.0,1006,1.29,1.54,138.54,1.17,84.7,1.6,3.05,2
7.02,57,6.0,1011,2.39,3.26,136.97,2.0,86.45,0.95,3.55,2
27.23,1,5.67,1010,2.39,6.23,88.52,0.22,25.19,0.07,0.06,1
27.18,77,7.95,1010,2.29,6.13,93.18,0.14,37.38,0.1,0.02,1
22.51,94,2.46,1010,2.25,5.03,93.6,0.41,27.38,0.09,1.4,1
8.32,67,0.0,1012,17.54,19.75,265.47,16.99,47.87,2.01,1.09,2
1.21,58,3.6,1014,1.78,2.81,170.17,4.44,65.15,1.8,1.07,2
-0.65,60,9.26,1018,0.5,0.5,128.15,0.42,79.05,0.02,1.01,2
22.2,94,2.06,1011,3.7,5.74,154.2,0.88,3.53,0.3,1.26,1
19.86,79,5.34,1015,1.83,3.09,127.57,0.28,27.1,1.91,0.22,1
25.09,74,0.67,1011,1.2,2.41,85.78,0.27,8.1,0.04,0.11,1
24.1,88,2.57,1010,0.5,0.5,84.31,0.02,3.82,0.0,0.04,1
23.96,88,2.57,1010,0.5,0.5,84.31,0.02,3.82,0.0,0.04,1
23.72,88,2.57,1010,0.5,0.5,85.64,0.02,3.85,0.0,0.06,1
22.2,94,2.06,1011,3.7,5.74,154.2,0.88,3.53,0.3,1.26,1
25.04,94,1.03,1010,5.42,12.95,76.54,0.14,34.51,0.15,0.0,1
23.72,92,1.32,1011,6.07,8.64,122.34,1.57,29.1,0.33,0.43,1
10.23,60,1.34,1021,6.82,7.51,134.27,4.03,93.72,2.27,17.24,2
11.19,54,1.03,1021,13.55,16.04,181.68,7.35,27.54,0.83,21.83,2
9.94,60,0.51,1021,14.75,16.45,194.85,10.29,65.23,2.53,13.68,2
28.72,89,5.14,1009,0.78,2.71,92.14,0.19,25.31,0.14,0.1,1
28.31,89,5.14,1009,0.85,2.98,94.41,0.21,25.54,0.15,0.09,1
24.07,89,3.61,1009,1.71,3.1,131.03,0.51,10.64,0.12,0.33,1
14.94,60,1.02,1020,9.79,13.29,224.3,7.91,26.06,0.18,1.26,1
13.51,51,0.66,1020,14.23,17.35,233.61,7.61,31.59,0.28,1.56,2
14.1,60,1.01,1022,9.79,13.29,224.3,7.91,26.06,0.18,1.26,1
25.95,100,1.03,1010,0.5,0.5,83.32,0.05,25.03,0.01,0.02,1
22.74,94,1.54,1012,1.15,1.42,91.76,0.62,1.91,0.05,0.06,1
21.17,83,0.75,1013,6.72,8.52,221.0,1.36,6.26,0.23,0.85,1
23.92,33,3.0,1015,73.41,95.49,694.72,47.9,100.28,80.1,0.33,4
23.94,35,2.85,1008,149.94,171.94,396.08,8.18,195.69,32.67,5.91,5
19.78,92,3.07,1012,33.83,36.78,484.13,51.13,19.8,26.34,0.01,3
12.27,98,0.41,1018,23.77,24.53,193.16,3.18,28.48,7.26,6.62,2
22.03,78,2.06,1014,4.39,4.68,119.21,2.34,14.75,0.97,5.38,1
19.37,84,4.47,1016,8.19,9.05,170.98,5.45,6.89,8.03,6.33,1
15.95,89,2.57,1017,0.5,0.63,102.87,0.53,26.64,0.25,0.0,1
24.19,88,1.68,1011,0.99,1.29,141.62,2.27,28.9,0.35,11.75,1
17.62,88,2.57,1016,0.5,0.61,102.32,0.39,26.1,0.18,0.0,1
20.85,88,5.96,1012,2.74,6.83,118.81,0.39,69.3,0.29,0.49,2
24.16,83,2.57,1013,2.06,2.88,120.79,0.4,89.14,1.28,0.03,2
20.19,94,2.57,1013,2.92,5.93,119.34,0.3,88.48,1.01,0.08,2
21.27,68,7.2,1014,3.32,16.32,108.16,0.14,74.69,0.48,0.0,2
20.75,68,8.75,1015,2.29,11.65,109.41,0.12,75.15,0.38,0.0,2
21.02,68,6.69,1015,3.23,15.09,111.78,0.14,80.11,0.51,0.0,2
25.86,82,2.57,1011,2.21,4.83,102.83,0.69,34.76,0.27,1.03,1
25.94,82,2.57,1011,2.21,4.83,102.83,0.69,34.76,0.27,1.03,1
19.76,60,0.0,1012,7.08,17.93,117.56,0.2,94.85,0.33,0.19,2
18.96,72,3.09,1012,7.83,18.39,118.43,0.18,95.91,0.36,0.28,2
20.67,64,2.06,1012,7.29,16.07,117.88,0.39,94.12,0.48,0.17,2
10.93,64,5.66,1019,8.34,10.05,138.31,2.49,81.01,0.67,5.82,2
12.38,54,4.63,1018,7.33,8.64,142.36,3.05,104.17,1.86,5.74,3
12.5,62,0.51,1017,11.11,14.15,147.29,3.25,82.95,1.85,4.43,2
7.67,82,5.66,1019,4.05,7.41,136.63,4.71,77.83,1.4,3.59,2
8.0,87,6.17,1020,3.32,9.32,137.28,4.68,79.77,1.38,4.18,2
10.9,53,0.89,1022,4.11,4.79,130.09,3.69,80.69,0.45,21.13,2
29.69,71,6.62,1009,5.97,22.66,131.22,0.17,38.22,0.08,2.52,2
27.36,62,8.56,1010,8.22,23.42,249.24,0.64,42.08,0.37,6.31,2
30.82,51,9.13,1008,7.12,23.26,172.69,0.42,39.55,0.18,3.98,2
11.36,76,2.06,1016,3.26,6.69,138.18,3.43,72.49,1.05,4.47,2
9.88,81,2.37,1017,2.56,6.86,133.45,2.3,73.72,0.59,5.7,2
9.53,82,3.1,1018,2.63,8.19,130.23,2.4,80.61,1.11,4.83,2
24.22,78,2.29,1012,0.67,1.86,106.39,1.83,26.5,1.08,0.01,1
22.02,93,0.86,1012,1.22,3.68,102.2,0.19,53.58,0.19,0.07,1
22.65,93,3.09,1013,10.78,12.99,199.71,6.34,36.33,1.88,28.18,2
22.9,93,0.85,1012,1.22,3.68,102.2,0.19,53.58,0.19,0.07,1
16.37,94,3.6,1013,8.82,18.61,126.05,6.11,51.71,0.71,2.32,1
16.93,100,3.09,1015,7.84,15.82,120.81,6.11,53.2,1.06,1.17,1
12.67,94,3.6,1016,49.35,244.41,126.07,3.34,81.77,0.89,0.77,5
7.53,89,0.95,1018,16.62,17.86,289.33,8.22,12.2,1.37,5.82,2
23.93,88,4.63,1012,8.79,24.01,119.46,2.23,35.01,0.56,0.36,2
9.34,86,1.79,1019,5.17,6.63,250.12,11.56,4.16,0.72,2.88,1
5.19,75,3.6,1006,0.5,0.78,131.49,1.29,84.63,0.42,0.18,2
6.14,70,4.63,1006,1.01,2.15,137.25,1.25,78.94,0.22,0.34,2
7.25,57,4.0,1004,1.96,3.3,149.2,1.91,73.77,0.71,1.02,2
